,loan_amnt,int_rate,installment
586,25000,9.91%,805.63
587,2400,12.69%,80.51
588,3000,16.29%,105.91
589,7700,16.77%,273.65
590,2400,13.49%,81.44
591,5000,10.65%,162.87
592,14000,17.58%,503.19
593,24500,20.89%,661.3
594,2400,10.65%,78.18
595,1800,12.42%,60.15
596,22200,19.42%,818.49
597,21400,19.42%,560.09
598,13000,7.90%,406.78
599,8000,12.69%,268.36
600,3600,12.69%,120.77
601,12375,23.13%,349.79
602,9400,9.91%,302.92
603,9600,14.27%,329.37
604,17000,10.65%,553.75
605,25000,19.03%,448.41
606,30000,19.03%,500.33
607,10800,14.27%,370.54
608,6000,7.90%,187.75
609,35000,8.90%,1111.37
610,10000,10.65%,325.74
611,15000,19.91%,396.66
612,5000,12.69%,167.73
613,3000,17.27%,75.0
614,7100,14.65%,244.91
615,12000,16.77%,426.47
616,22400,22.74%,628.13
617,5825,10.65%,189.74
618,22250,12.69%,746.38
619,18000,16.77%,445.13
620,6000,12.42%,200.5
621,7650,11.71%,253.04
622,21000,18.25%,536.13
623,20675,15.27%,494.8
624,13200,7.90%,413.04
625,12000,7.51%,373.33
626,20000,19.03%,324.47
627,15000,6.03%,456.54
628,27050,18.64%,696.35
629,22500,17.27%,562.46
630,20500,12.69%,463.2
631,12800,12.42%,427.72
632,27575,10.65%,898.21
633,7000,12.69%,234.82
634,7600,16.77%,187.95
635,29000,12.42%,651.27
636,10000,14.27%,343.09
637,14125,7.90%,441.98
638,12000,6.62%,368.45
639,9575,6.62%,293.99
640,12000,20.30%,237.29
641,12000,15.96%,421.65
642,10000,12.69%,335.45
643,10000,15.96%,351.38
644,25000,14.27%,585.22
645,24000,9.91%,773.4
646,14575,10.65%,474.76
647,9000,7.51%,280.0
648,10000,13.49%,339.31
649,7125,17.58%,256.09
650,15000,10.65%,323.53
651,13000,13.49%,441.1
652,12000,12.69%,271.14
653,18000,20.30%,479.9
654,30000,14.27%,702.26
655,21600,17.27%,773.01
656,7600,16.77%,187.95
657,7000,12.42%,233.91
658,7000,8.90%,222.28
659,3600,17.27%,128.84
660,3500,12.69%,117.41
661,5000,8.90%,158.77
662,10000,11.71%,330.76
663,4500,13.49%,152.69
664,12000,11.71%,396.92
665,12000,19.03%,311.49
666,10700,12.42%,357.55
667,6000,10.65%,195.44
668,20000,7.90%,625.81
669,10800,16.77%,267.08
670,25000,19.03%,416.62
671,20000,14.27%,468.17
672,3600,13.49%,122.15
673,6000,8.90%,190.52
674,10375,14.27%,355.96
675,25000,8.90%,793.84
676,10000,16.29%,353.01
677,10000,12.42%,194.26
678,5600,6.03%,170.44
679,6000,12.42%,200.5
680,8000,7.90%,250.33
681,35000,12.42%,489.57
682,10000,11.71%,330.76
683,11000,7.51%,342.22
684,5000,9.91%,161.13
685,6500,10.65%,211.73
686,20000,20.30%,533.23
687,12000,12.69%,402.54
688,8250,19.91%,218.17
689,21000,7.90%,657.1
690,8400,16.77%,298.53
691,7000,12.69%,234.82
692,12000,12.42%,400.99
693,7200,11.71%,238.15
694,12000,10.65%,390.88
695,12800,14.27%,299.63
696,3050,9.91%,98.29
697,9000,14.65%,310.45
698,10000,11.71%,330.76
699,10000,9.91%,322.25
700,10000,14.27%,343.09
701,8500,16.29%,300.06
702,35000,11.71%,470.14
703,7200,13.49%,165.64
704,21000,14.27%,491.58
705,27000,9.91%,870.08
706,28625,20.30%,763.18
707,4000,14.27%,137.24
708,7300,11.71%,241.46
709,18000,8.90%,571.56
710,5000,11.71%,165.38
711,6500,14.27%,152.16
712,14100,17.58%,354.84
713,35000,19.03%,572.36
714,10000,14.27%,343.09
715,3000,7.90%,93.88
716,25000,19.03%,397.8
717,28000,15.96%,983.85
718,10000,14.65%,344.95
719,12000,7.90%,375.49
720,10000,17.27%,357.88
721,11000,8.90%,349.29
722,10000,15.27%,347.98
723,5000,6.62%,153.52
724,5000,6.03%,152.18
725,5000,8.90%,158.77
726,6000,14.27%,205.86
727,5000,14.27%,171.55
728,20050,17.58%,720.64
729,7000,16.77%,248.77
730,25000,10.65%,814.34
731,3000,12.69%,100.64
732,8400,17.27%,300.62
733,24925,23.91%,715.75
734,5000,9.91%,161.13
735,12000,14.27%,280.91
736,12000,12.42%,400.99
737,13200,11.71%,436.61
738,6000,6.03%,182.62
739,10000,6.62%,307.04
740,17500,12.42%,393.01
741,6500,10.65%,211.73
742,10000,7.51%,311.11
743,12000,9.91%,386.7
744,10000,14.27%,343.09
745,12375,14.27%,424.58
746,10000,10.65%,325.74
747,20000,18.25%,510.6
748,4400,19.03%,161.36
749,25000,13.49%,848.27
750,14125,12.42%,472.0
751,35000,20.30%,581.88
752,13600,12.69%,307.29
753,20000,12.69%,451.9
754,18000,13.49%,610.75
755,13000,16.77%,321.48
756,35000,16.77%,1243.85
757,35000,14.27%,1200.82
758,12000,11.71%,265.18
759,7200,13.49%,244.3
760,25000,15.96%,386.93
761,4000,12.69%,134.18
762,7000,7.51%,217.78
763,15000,13.49%,508.96
764,12800,11.71%,282.86
765,35000,20.89%,576.27
766,15000,16.77%,370.94
767,7200,7.90%,225.29
768,13000,17.27%,465.24
769,28000,7.90%,876.13
770,12000,9.91%,386.7
771,16000,17.58%,402.65
772,14000,8.90%,444.55
773,11500,11.71%,380.38
774,10500,14.65%,362.19
775,14400,12.42%,481.18
776,16000,9.91%,515.6
777,5375,9.91%,173.21
778,12000,13.49%,407.17
779,12000,7.51%,373.33
780,17000,6.03%,517.41
781,30000,19.03%,778.72
782,13000,20.30%,485.12
783,7125,7.51%,221.67
784,14000,18.25%,357.42
785,8000,14.65%,275.96
786,12500,11.71%,413.45
787,10000,14.27%,343.09
788,12000,13.49%,188.07
789,14000,10.65%,456.03
790,7500,6.03%,228.27
791,19200,9.91%,618.72
792,9000,11.71%,297.69
793,16000,17.27%,399.97
794,20000,8.90%,635.07
795,9000,13.49%,305.38
796,9600,7.51%,298.67
797,12000,12.69%,271.14
798,18000,11.71%,272.37
799,1000,13.49%,33.94
800,15000,15.27%,521.97
801,12000,16.77%,426.47
802,12000,14.27%,280.91
803,14000,8.90%,444.55
804,15600,15.96%,379.04
805,10000,10.65%,325.74
806,7200,12.69%,241.53
807,22250,15.27%,532.49
808,13250,17.27%,331.23
809,26400,14.27%,391.51
810,11000,9.91%,354.48
811,9600,8.90%,304.84
812,10000,16.77%,355.39
813,7000,15.96%,170.08
814,11000,9.91%,354.48
815,13000,16.77%,321.48
816,5000,7.51%,155.56
817,6000,11.71%,198.46
818,3000,13.49%,101.8
819,8200,16.77%,202.78
820,17000,12.42%,568.06
821,5000,10.65%,162.87
822,6400,8.90%,203.23
823,13000,16.29%,458.91
824,18000,11.71%,397.77
825,16000,15.27%,382.92
826,13200,17.27%,329.98
827,10000,16.77%,355.39
828,15000,15.96%,364.46
829,5000,14.27%,171.55
830,7200,7.90%,225.29
831,15000,7.90%,469.36
832,15700,19.42%,258.46
833,5000,21.28%,136.06
834,9600,11.71%,317.53
835,16000,19.91%,423.11
836,35000,19.03%,593.77
837,21000,14.65%,495.74
838,12000,17.58%,206.99
839,6000,10.65%,195.44
840,20000,20.30%,533.23
841,6000,14.65%,206.97
842,7150,12.69%,239.85
843,13000,19.42%,340.24
844,32000,6.62%,982.52
845,8000,15.27%,278.39
846,15500,13.49%,356.58
847,7000,8.90%,222.28
848,12000,6.62%,368.45
849,10400,14.65%,358.74
850,12000,12.69%,402.54
851,8000,11.71%,111.6
852,16000,16.29%,564.81
853,4500,10.65%,146.58
854,5000,12.42%,167.08
855,3600,16.29%,127.09
856,30000,20.30%,494.57
857,21000,13.49%,712.54
858,7000,14.27%,240.17
859,17475,7.90%,353.5
860,27575,12.69%,392.02
861,7000,8.90%,144.97
862,15000,7.90%,469.36
863,2250,13.49%,76.35
864,17050,12.42%,569.74
865,16500,16.77%,586.39
866,35000,19.91%,925.54
867,3250,12.42%,108.6
868,7000,7.90%,219.04
869,24000,11.71%,793.83
870,13200,16.77%,469.11
871,22750,8.90%,722.39
872,12000,8.90%,381.04
873,30000,10.65%,977.2
874,1200,12.69%,40.26
875,4800,8.90%,152.42
876,18000,20.89%,485.85
877,7200,8.90%,228.63
878,15000,9.91%,483.38
879,10500,15.27%,365.38
880,15000,17.27%,374.97
881,5000,7.90%,156.46
882,12800,13.49%,294.47
883,4000,8.90%,127.02
884,14000,12.42%,209.98
885,27000,11.71%,893.06
886,15000,12.42%,501.23
887,35000,20.89%,944.71
888,2400,14.27%,82.35
889,5900,12.42%,197.16
890,5000,11.71%,165.38
891,22000,19.42%,575.79
892,13250,17.58%,476.24
893,12600,14.27%,294.95
894,20000,11.71%,661.52
895,18000,7.90%,563.23
896,19200,16.77%,682.34
897,7000,11.71%,231.54
898,25000,15.96%,607.43
899,10000,6.03%,304.36
900,2250,15.27%,78.3
901,23000,9.91%,741.18
902,6750,17.27%,241.57
903,10000,10.65%,325.74
904,16000,11.71%,353.58
905,5600,8.90%,177.82
906,12000,19.42%,314.07
907,4800,6.03%,146.1
908,25000,14.65%,370.63
909,10000,11.71%,330.76
910,2200,9.91%,70.9
911,24000,12.69%,805.08
912,16000,7.90%,500.65
913,10000,9.91%,322.25
914,10625,14.27%,364.54
915,9600,14.65%,331.15
916,7200,20.89%,270.86
917,12000,8.90%,381.04
918,5000,12.42%,167.08
919,30000,21.67%,822.95
920,12000,16.29%,423.61
921,18000,17.27%,644.18
922,10000,9.91%,322.25
923,10000,9.91%,322.25
924,26000,7.51%,808.89
925,17475,9.91%,563.14
926,10400,22.35%,289.32
927,10000,10.65%,325.74
928,17250,19.42%,635.99
929,10000,6.62%,307.04
930,12000,13.49%,276.06
931,6000,7.90%,121.38
932,19075,18.25%,486.98
933,20000,11.71%,661.52
934,24000,7.90%,750.97
935,17200,17.27%,429.97
936,15000,8.90%,476.3
937,10625,11.71%,351.44
938,8400,14.65%,289.76
939,28000,14.65%,660.99
940,16000,15.96%,562.2
941,18000,16.77%,272.02
942,15000,14.27%,514.64
943,20675,13.49%,290.44
944,13225,12.69%,443.64
945,11775,13.49%,399.54
946,16400,17.27%,409.97
947,10075,12.42%,336.66
948,10000,14.27%,343.09
949,14000,12.42%,467.82
950,13000,9.91%,418.93
951,15000,11.71%,496.14
952,5000,16.77%,123.65
953,9350,7.51%,290.89
954,30000,20.30%,487.24
955,18225,12.42%,609.0
956,18000,15.27%,430.78
957,3600,6.62%,110.54
958,29000,10.65%,625.49
959,5000,16.29%,176.51
960,6400,16.29%,225.93
961,12000,16.77%,296.75
962,35000,8.90%,1111.37
963,18000,9.91%,580.05
964,8075,22.35%,224.64
965,15625,8.90%,496.15
966,24000,13.49%,814.34
967,5000,14.27%,171.55
968,14000,20.89%,248.33
969,6000,16.77%,148.38
970,7200,9.91%,232.02
971,5000,14.27%,171.55
972,6600,10.65%,214.99
973,7000,6.62%,214.93
974,20000,15.27%,695.96
975,8000,12.42%,267.33
976,12000,9.91%,386.7
977,20000,11.71%,661.52
978,10000,8.90%,317.54
979,16000,12.69%,229.91
980,10000,11.71%,330.76
981,18000,16.29%,635.41
982,4000,12.42%,133.67
983,15000,12.42%,501.23
984,10000,18.64%,257.43
985,29500,14.27%,419.02
986,20125,19.42%,526.72
987,30000,21.28%,500.01
988,24000,16.77%,852.93
989,14000,15.96%,340.16
990,5375,10.65%,175.09
991,8300,8.90%,263.56
992,7000,8.90%,222.28
993,2425,15.27%,84.39
994,6950,9.91%,223.97
995,12375,9.91%,398.79
996,35000,20.30%,933.14
